,0
d_tourney_best_round,0.0007242197
t1_tourney_e8_rate,0.00067469606
t2_rank_KPK,0.0005823785
t1_tourney_best_round,0.00033009096
t1_rank_MOR,0.00031651492
d_tourney_ncg_rate,0.0
t1_tourney_ncg_rate,0.0
t2_tourney_ncg_rate,0.0
t1_conf_tourney_champion,0.0
t1_conf_tourney_finalist,0.0
d_tourney_champ_rate,0.0
t1_tourney_champ_rate,0.0
t2_tourney_champ_rate,0.0
t2_rank_RTH,0.0
t2_InTourney,0.0
t1_SeedNum,0.0
t1_rank_WLK,0.0
t1_InTourney,0.0
d_InTourney,0.0
t1_rank_SAG,0.0
t2_rank_LMC,0.0
t1_rank_composite,0.0
d_coach_is_new,0.0
t2_coach_champs,0.0
t1_coach_champs,0.0
t1_coach_is_new,0.0
t2_coach_is_new,0.0
d_coach_champs,0.0
t2_rank_DOL,0.0
